CAR_ID,品牌系列,长度(mm),宽度(mm),高度(mm),轴距(mm),前轮距(mm),后轮距(mm),接近角(°),离去角(°),车身结构,车门开启方式,车门数(个),座位数(个),油箱容积(L),后备厢容积(L),风阻系数(Cd),最小离地间隙(mm),最大涉水深度(mm),最小转弯半径(m),满载最小离地间隙(mm),纵向通过角(°),最大爬坡度(%),最大载重质量(kg),后排车门开启方式,前备厢容积(L),最大爬坡角度(°),空载最小离地间隙(mm),氢瓶容积(L)
71445,奔驰CLE,4850,1861,1416,2865,1605,1616,13.5,17.2,硬顶跑车,平开门,(标配)2,(标配)4,66,420,,,,,,,,,,,,,
71443,奔驰CLE,4850,1861,1425,2865,1605,1616,13.5,17.2,软顶敞篷车,平开门,(标配)2,(标配)4,66,,,,,,,,,,,,,,
65901,奔驰CLE,4850,1861,1425,2865,1605,1616,14,15.3,硬顶跑车,平开门,(标配)2,(标配)4,66,420,,,,,,,,,,,,,
71442,奔驰CLE,4850,1861,1425,2865,1605,1616,14,15.3,硬顶跑车,平开门,(标配)2,(标配)4,66,420,,,,,,,,,,,,,
67283,奔驰CLE,4850,1861,1425,2865,1605,1616,14,15.3,软顶敞篷车,平开门,(标配)2,(标配)4,66,,,,,,,,,,,,,,
67439,奔驰CLE,4850,1861,1416,2865,,,13.5,17.2,硬顶跑车,平开门,(标配)2,(标配)4,66,420,,,,,,,,,,,,,
71444,奔驰CLE,4850,1861,1425,2865,,,13.5,17.2,软顶敞篷车,平开门,(标配)2,(标配)4,66,,,,,,,,,,,,,,
71441,奔驰CLE,4850,1861,1425,2865,,,14,15.3,硬顶跑车,平开门,(标配)2,(标配)4,66,420,,,,,,,,,,,,,
69011,奔驰CLE,4850,1861,1425,2865,,,14,15.3,硬顶跑车,平开门,(标配)2,(标配)4,66,420,,,,,,,,,,,,,
69012,奔驰CLE,4850,1861,1425,2865,,,14,15.3,软顶敞篷车,平开门,(标配)2,(标配)4,66,,,,,,,,,,,,,,
60867,AMG GT,5054,1953,1460,2951,,,12.2,14.8,掀背车,平开门,(标配)5,(标配)4,80,,,,,,,,,,,,,,
67636,AMG GT,5054,1953,1455,2951,,,11.7,14.6,掀背车,平开门,(标配)5,(标配)4,80,,,,,,,,,,,,,,
60868,AMG GT,5054,1953,1460,2951,,,12.2,14.8,掀背车,平开门,(标配)5,(标配)4,80,,,,,,,,,,,,,,
63122,奔驰E级(进口),4953,1880,1479,2961,,,15,16.6,三厢车,平开门,(标配)4,(标配)5,66,,,,,,,,,,,,,,
70201,奔驰E级(进口),4953,1880,1479,2961,,,15,16.6,三厢车,平开门,(标配)4,(标配)5,66,,,,,,,,,,,,,,
63123,奔驰E级(进口),4953,1880,1479,2961,,,15,16.6,三厢车,平开门,(标配)4,(标配)5,66,,,,,,,,,,,,,,
70202,奔驰E级(进口),4846,1860,1434,2873,,,13.6,16,硬顶跑车,平开门,(标配)2,(标配)4,66,,,,,,,,,,,,,,
59860,奔驰E级(进口),4846,1860,1448,2873,,,14.6,16.9,硬顶跑车,平开门,(标配)2,(标配)4,66,,,,,,,,,,,,,,
70203,奔驰E级(进口),4846,1860,1432,2873,,,13.6,16,软顶敞篷车,平开门,(标配)2,(标配)4,66,,,,,,,,,,,,,,
63124,奔驰E级(进口),4846,1860,1446,2873,,,14.6,16.9,软顶敞篷车,平开门,(标配)2,(标配)4,66,,,,,,,,,,,,,,
63125,奔驰E级(进口),4846,1860,1434,2873,,,13.6,16,硬顶跑车,平开门,(标配)2,(标配)4,66,,,,,,,,,,,,,,
63004,奔驰CLS,4996,1896,1432,2939,,,12.8,15.2,三厢车,平开门,(标配)4,(标配)5,66,490,,,,,,,,,,,,,
63005,奔驰CLS,4996,1896,1432,2939,,,12.8,15.2,三厢车,平开门,(标配)4,(标配)5,66,490,,,,,,,,,,,,,
63006,奔驰CLS,4996,1896,1432,2939,,,12.8,15.2,三厢车,平开门,(标配)4,(标配)5,66,490,,,,,,,,,,,,,
61395,奔驰GLE AMG,4937,2015,1782,2995,,,24.2,22.8,SUV,平开门,(标配)5,(标配)5,85,,,,,,,,,,,,,,
70923,奔驰GLE AMG,4947,2015,1782,2995,,,24.2,22.8,SUV,平开门,(标配)5,(标配)5,85,,,,,,,,,,,,,,
70213,奔驰GLC轿跑,4769,1920,1603,2888,,,21,20.8,SUV跨界车,平开门,(标配)5,(标配)5,66,545,0.27,,,,,,,,,,,,
70214,奔驰GLC轿跑,4769,1920,1603,2888,,,21.1,20.9,SUV跨界车,平开门,(标配)5,(标配)5,66,545,0.27,,,,,,,,,,,,
66516,奔驰C级AMG,4787,1824,1450,2865,,,13.4,15.2,三厢车,平开门,(标配)4,(标配)5,66,,,,,,,,,,,,,,
66517,奔驰C级AMG,4787,1824,1469,2865,,,13.5,15.3,旅行车,平开门,(标配)5,(标配)5,66,,,,,,,,,,,,,,
70273,奔驰GLE新能源,4927,2018,1782,2995,,,25,27.3,SUV,平开门,(标配)5,(标配)5,,,,,,,,,,,,,,,
71115,奔驰A级AMG,4630,1796,1416,2789,1573,1570,13,15,三厢车,平开门,(标配)4,(标配)5,51,370,,,,,,,,,,,,,
71170,奔驰CLE AMG,4853,1935,1430,2875,,,12.5,15.8,硬顶跑车,平开门,(标配)2,(标配)4,,,,,,,,,,,,,,,
65910,奔驰GLB AMG,4658,1845,1662,2829,,,16.3,19.6,SUV,平开门,(标配)5,(标配)5,60,,,,,,,,,,,,,,
71116,奔驰A级AMG(进口),4453,1850,1414,2729,,,11.4,15.6,两厢车,平开门,(标配)5,(标配)5,51,355-1195,,,,,,,,,,,,,
68606,奔驰A级AMG(进口),4453,1850,1414,2729,,,11.4,15.6,两厢车,平开门,(标配)5,(标配)5,51,355-1195,,,,,,,,,,,,,
66533,奔驰A级AMG(进口),4447,1797,1410,2729,,,12.5,16.5,两厢车,平开门,(标配)5,(标配)5,51,,,,,,,,,,,,,,
68559,奔驰E级新能源,5092,1880,1489,3094,1622,1604,15,17,三厢车,平开门,(标配)4,(标配)5,,,,,,,,,,,,,,,
65775,奔驰E级新能源,5092,1880,1489,3094,1622,1604,15,17,三厢车,平开门,(标配)4,(标配)5,,,,,,,,,,,,,,,
70754,奔驰EQE,4969,1906,1514,3120,1639,1650,15,19,三厢车,平开门,(标配)4,(标配)5,,430,0.22,,,6.25,,,,,,,,,
70753,奔驰EQE,4969,1906,1514,3120,1634,1645,15,19,三厢车,平开门,(标配)4,(标配)5,,430,0.22,,,6.25,,,,,,,,,
69750,奔驰EQE,4969,1906,1514,3120,1634,1645,15,19,三厢车,平开门,(标配)4,(标配)5,,430,0.22,,,5.35,,,,,,,,,
69333,奔驰EQB,4684,1834,1693,2829,1587,1590,19,23,SUV,平开门,(标配)5,(标配)5,,,,,,,,,,,,,,,
69332,奔驰EQB,4684,1834,1706,2829,1587,1585,19,24,SUV,平开门,(标配)5,(标配)7,,,,,,,,,,,,,,,
71114,奔驰CLA AMG,4692,1834,1408,2729,1605,1585,12.2,15,三厢车,平开门,(标配)4,(标配)5,51,460,,,,,,,,,,,,,
68688,奔驰CLA AMG,4701,1857,1413,2729,1605,1585,11.7,14.7,三厢车,平开门,(标配)4,(标配)5,51,460,,,,,,,,,,,,,
69334,奔驰EQA,4463,1849,1619,2729,1587,1590,19,27,SUV,平开门,(标配)5,(标配)5,,,,,,,,,,,,,,,
63847,奔驰GLC AMG,4749,1938,1640,2888,,,14.7,18.8,SUV,平开门,(标配)5,(标配)5,,,,,,,,,,,,,,,
62313,奔驰GLS AMG,5234,2030,1836,3135,,,22.9,20.9,SUV,平开门,(标配)5,(标配)7,90,,,,,,,,,,,,,,
70838,奔驰GLE轿跑,4941,2018,1716,2935,,,24.4,24.3,SUV跨界车,平开门,(标配)5,(标配)5,,655-1790,,,,,,,,,,,,,
70837,奔驰GLE轿跑,4941,2018,1716,2935,,,24.4,24.3,SUV跨界车,平开门,(标配)5,(标配)5,,655-1790,,,,,,,,,,,,,
