CAR_ID,品牌系列,前/后驻车雷达,驾驶辅助影像,前方感知摄像头,摄像头数量,车内摄像头数量,超声波雷达数量,透明底盘/540度影像,毫米波雷达数量,前方感知摄像头像素,辅助驾驶芯片,芯片总算力,激光雷达数量,前方最大探测距离,激光雷达品牌,激光雷达线数,激光雷达10%反射率探测距离,环视摄像头像素,环境感知摄像头像素,激光雷达型号,激光雷达点云数量
66516,奔驰C级AMG,前(标配) / 后(标配),(标配)倒车影像,,,,,,,,,,,,,,,,,,
66517,奔驰C级AMG,前(标配) / 后(标配),(标配)倒车影像,,,,,,,,,,,,,,,,,,
70273,奔驰GLE新能源,前(标配) / 后(标配),(标配)360度全景影像,(标配)单目x2,(标配)6个,,(标配)12个,(标配),(标配)5个,,,,,,,,,,,,
71115,奔驰A级AMG,前(标配) / 后(标配),"(标配)倒车影像,(选配)360度全景影像",(标配)单目,(标配)2个,,(标配)12个,,,,,,,,,,,,,,
71170,奔驰CLE AMG,前(标配) / 后(标配),(标配)360度全景影像,"(标配)单目,(选配)双目","(标配)5个,(选配)6个",,(标配)12个,,,,,,,,,,,,,,
65910,奔驰GLB AMG,前(标配) / 后(标配),(标配)360度全景影像,,,,,,,,,,,,,,,,,,
71116,奔驰A级AMG(进口),前(标配) / 后(标配),(标配)360度全景影像,,,,,,,,,,,,,,,,,,
68606,奔驰A级AMG(进口),前(标配) / 后(标配),(标配)360度全景影像,,,,,,,,,,,,,,,,,,
66533,奔驰A级AMG(进口),前(标配) / 后(标配),"(标配)倒车影像,(选配)360度全景影像",,,,,,,,,,,,,,,,,,
68559,奔驰E级新能源,前(标配) / 后(标配),(标配)360度全景影像,(标配)双目,(标配)6个,(标配)1个,(标配)12个,,,,,,,,,,,,,,
65775,奔驰E级新能源,前(标配) / 后(标配),(标配)360度全景影像,(标配)双目,(标配)6个,(标配)1个,(标配)12个,,,,,,,,,,,,,,
70754,奔驰EQE,前(标配) / 后(标配),(标配)360度全景影像,"(标配)单目,(选配)双目","(标配)5个,(选配)6个",(标配)1个,(标配)12个,,"(标配)1个,(选配)5个",,,,,,,,,,,,
70753,奔驰EQE,前(标配) / 后(标配),(标配)360度全景影像,(标配)双目,(标配)6个,(标配)1个,(标配)12个,,(标配)5个,,,,,,,,,,,,
69750,奔驰EQE,前(标配) / 后(标配),(标配)360度全景影像,(标配)双目,(标配)6个,(标配)1个,(标配)12个,,(标配)5个,,,,,,,,,,,,
69333,奔驰EQB,前(标配) / 后(标配),(标配)倒车影像,,,,,,,,,,,,,,,,,,
69332,奔驰EQB,前(标配) / 后(标配),(标配)360度全景影像,,,,,,,,,,,,,,,,,,
71114,奔驰CLA AMG,前(标配) / 后(标配),"(标配)倒车影像,(选配)360度全景影像",(标配)单目,"(标配)2个,(选配)6个",,(标配)12个,,,,,,,,,,,,,,
68688,奔驰CLA AMG,前(标配) / 后(标配),(标配)360度全景影像,(标配)单目x2,(标配)6个,,(标配)12个,,(标配)1个,,,,,,,,,,,,
69334,奔驰EQA,前(标配) / 后(标配),(标配)倒车影像,(标配)单目,(标配)2个,,(标配)12个,,,,,,,,,,,,,,
63847,奔驰GLC AMG,前(标配) / 后(标配),(标配)360度全景影像,,,,,(标配),,,,,,,,,,,,,
62313,奔驰GLS AMG,前(标配) / 后(标配),(标配)360度全景影像,,,,,(标配),,,,,,,,,,,,,
70838,奔驰GLE轿跑,前(标配) / 后(标配),(标配)360度全景影像,(标配)双目,(标配)6个,,,,,,,,,,,,,,,,
70837,奔驰GLE轿跑,前(标配) / 后(标配),(标配)360度全景影像,(标配)双目,(标配)6个,,,,,,,,,,,,,,,,
70836,奔驰GLE轿跑,前(标配) / 后(标配),(标配)360度全景影像,(标配)双目,(标配)6个,,,,,,,,,,,,,,,,
70835,奔驰GLE轿跑,前(标配) / 后(标配),(标配)360度全景影像,(标配)双目,(标配)6个,,,,,,,,,,,,,,,,
59841,奔驰B级,前(标配) / 后(标配),,,,,,,,,,,,,,,,,,,
59842,奔驰B级,前(标配) / 后(标配),(标配)倒车影像,,,,,,,,,,,,,,,,,,
59847,奔驰A级(进口),,(标配)倒车影像,,,,,,,,,,,,,,,,,,
59846,奔驰A级(进口),前(标配) / 后(标配),,,,,,,,,,,,,,,,,,,
60934,奔驰E级AMG,前(标配) / 后(标配),(标配)360度全景影像,,,,,,,,,,,,,,,,,,
69745,奔驰C级新能源,前(标配) / 后(标配),(标配)360度全景影像,(标配)单目,(标配)5个,,(标配)12个,,,,,,,,,,,,,,
71974,奔驰C级新能源,前(标配) / 后(标配),(标配)360度全景影像,(标配)单目,(标配)5个,,(标配)12个,,,,,,,,,,,,,,
64290,奔驰SL级AMG,前(标配) / 后(标配),(标配)360度全景影像,,,,,,,,,,,,,,,,,,
61685,奔驰EQS,前(标配) / 后(标配),(标配)360度全景影像,,,,,,,,,,,,,,,,,,
61683,奔驰EQS,前(标配) / 后(标配),(标配)360度全景影像,,,,,,,,,,,,,,,,,,
61684,奔驰EQS,前(标配) / 后(标配),(标配)360度全景影像,,,,,,,,,,,,,,,,,,
67883,奔驰G级新能源,前(标配) / 后(标配),(标配)360度全景影像,(标配)单目,(标配)5个,,(标配)12个,(标配),,,,,,,,,,,,,
68027,奔驰GLC轿跑 AMG,前(标配) / 后(标配),(标配)360度全景影像,,,,,(标配),,,,,,,,,,,,,
