CAR_ID,品牌系列,简称,挡位个数,变速箱类型
71240,宝马5系,8挡手自一体,8,手自一体变速箱(AT)
65488,宝马5系,8挡手自一体,8,手自一体变速箱(AT)
66537,宝马5系,8挡手自一体,8,手自一体变速箱(AT)
66502,宝马5系,8挡手自一体,8,手自一体变速箱(AT)
64199,宝马5系,8挡手自一体,8,手自一体变速箱(AT)
66526,宝马5系,8挡手自一体,8,手自一体变速箱(AT)
65489,宝马5系,8挡手自一体,8,手自一体变速箱(AT)
71244,宝马5系,8挡手自一体,8,手自一体变速箱(AT)
71246,宝马5系,8挡手自一体,8,手自一体变速箱(AT)
71242,宝马5系,8挡手自一体,8,手自一体变速箱(AT)
66538,宝马5系,8挡手自一体,8,手自一体变速箱(AT)
71243,宝马5系,8挡手自一体,8,手自一体变速箱(AT)
71241,宝马5系,8挡手自一体,8,手自一体变速箱(AT)
71247,宝马5系,8挡手自一体,8,手自一体变速箱(AT)
64898,宝马3系,8挡手自一体,8,手自一体变速箱(AT)
64901,宝马3系,8挡手自一体,8,手自一体变速箱(AT)
68593,宝马3系,8挡手自一体,8,手自一体变速箱(AT)
68590,宝马3系,8挡手自一体,8,手自一体变速箱(AT)
64902,宝马3系,8挡手自一体,8,手自一体变速箱(AT)
68591,宝马3系,8挡手自一体,8,手自一体变速箱(AT)
64899,宝马3系,8挡手自一体,8,手自一体变速箱(AT)
64903,宝马3系,8挡手自一体,8,手自一体变速箱(AT)
68592,宝马3系,8挡手自一体,8,手自一体变速箱(AT)
64897,宝马3系,8挡手自一体,8,手自一体变速箱(AT)
64900,宝马3系,8挡手自一体,8,手自一体变速箱(AT)
64896,宝马3系,8挡手自一体,8,手自一体变速箱(AT)
64895,宝马3系,8挡手自一体,8,手自一体变速箱(AT)
68594,宝马3系,8挡手自一体,8,手自一体变速箱(AT)
69229,宝马X5,8挡手自一体,8,手自一体变速箱(AT)
64451,宝马X5,8挡手自一体,8,手自一体变速箱(AT)
64453,宝马X5,8挡手自一体,8,手自一体变速箱(AT)
64452,宝马X5,8挡手自一体,8,手自一体变速箱(AT)
64454,宝马X5,8挡手自一体,8,手自一体变速箱(AT)
64449,宝马X5,8挡手自一体,8,手自一体变速箱(AT)
64450,宝马X5,8挡手自一体,8,手自一体变速箱(AT)
65053,宝马X3,8挡手自一体,8,手自一体变速箱(AT)
71573,宝马X3,8挡手自一体,8,手自一体变速箱(AT)
65054,宝马X3,8挡手自一体,8,手自一体变速箱(AT)
69371,宝马X3,8挡手自一体,8,手自一体变速箱(AT)
65385,宝马X3,8挡手自一体,8,手自一体变速箱(AT)
69387,宝马X3,8挡手自一体,8,手自一体变速箱(AT)
70467,宝马X1,7挡湿式双离合,7,湿式双离合变速箱(DCT)
62691,宝马X1,7挡湿式双离合,7,湿式双离合变速箱(DCT)
70466,宝马X1,7挡湿式双离合,7,湿式双离合变速箱(DCT)
63253,宝马X1,7挡湿式双离合,7,湿式双离合变速箱(DCT)
66609,宝马X1,7挡湿式双离合,7,湿式双离合变速箱(DCT)
60974,宝马X1,7挡湿式双离合,7,湿式双离合变速箱(DCT)
60975,宝马X1,7挡湿式双离合,7,湿式双离合变速箱(DCT)
60973,宝马X1,7挡湿式双离合,7,湿式双离合变速箱(DCT)
66548,宝马X1,7挡湿式双离合,7,湿式双离合变速箱(DCT)
66572,宝马X1,7挡湿式双离合,7,湿式双离合变速箱(DCT)
60890,宝马7系,8挡手自一体,8,手自一体变速箱(AT)
56718,宝马7系,8挡手自一体,8,手自一体变速箱(AT)
60891,宝马7系,8挡手自一体,8,手自一体变速箱(AT)
60888,宝马7系,8挡手自一体,8,手自一体变速箱(AT)
60756,宝马7系,8挡手自一体,8,手自一体变速箱(AT)
60889,宝马7系,8挡手自一体,8,手自一体变速箱(AT)
68372,宝马i3,电动车单速变速箱,1,固定齿比变速箱
68371,宝马i3,电动车单速变速箱,1,固定齿比变速箱
68373,宝马i3,电动车单速变速箱,1,固定齿比变速箱
68089,宝马4系,8挡手自一体,8,手自一体变速箱(AT)
62545,宝马4系,8挡手自一体,8,手自一体变速箱(AT)
62537,宝马4系,8挡手自一体,8,手自一体变速箱(AT)
62543,宝马4系,8挡手自一体,8,手自一体变速箱(AT)
62541,宝马4系,8挡手自一体,8,手自一体变速箱(AT)
62542,宝马4系,8挡手自一体,8,手自一体变速箱(AT)
62538,宝马4系,8挡手自一体,8,手自一体变速箱(AT)
62539,宝马4系,8挡手自一体,8,手自一体变速箱(AT)
62540,宝马4系,8挡手自一体,8,手自一体变速箱(AT)
68088,宝马4系,8挡手自一体,8,手自一体变速箱(AT)
68087,宝马4系,8挡手自一体,8,手自一体变速箱(AT)
68086,宝马4系,8挡手自一体,8,手自一体变速箱(AT)
69184,宝马4系,8挡手自一体,8,手自一体变速箱(AT)
62544,宝马4系,8挡手自一体,8,手自一体变速箱(AT)
69183,宝马4系,8挡手自一体,8,手自一体变速箱(AT)
59249,宝马X7,8挡手自一体,8,手自一体变速箱(AT)
59247,宝马X7,8挡手自一体,8,手自一体变速箱(AT)
59248,宝马X7,8挡手自一体,8,手自一体变速箱(AT)
59246,宝马X7,8挡手自一体,8,手自一体变速箱(AT)
68903,宝马X7,8挡手自一体,8,手自一体变速箱(AT)
68904,宝马X7,8挡手自一体,8,手自一体变速箱(AT)
66608,宝马iX3,电动车单速变速箱,1,固定齿比变速箱
66549,宝马iX3,电动车单速变速箱,1,固定齿比变速箱
65936,宝马X2(进口),7挡湿式双离合,7,湿式双离合变速箱(DCT)
65937,宝马X2(进口),7挡湿式双离合,7,湿式双离合变速箱(DCT)
65130,宝马X6,8挡手自一体,8,手自一体变速箱(AT)
63347,宝马X6,8挡手自一体,8,手自一体变速箱(AT)
63348,宝马X6,8挡手自一体,8,手自一体变速箱(AT)
71261,宝马2系,7挡湿式双离合,7,湿式双离合变速箱(DCT)
69411,宝马2系,7挡湿式双离合,7,湿式双离合变速箱(DCT)
53749,宝马X4,8挡手自一体,8,手自一体变速箱(AT)
53748,宝马X4,8挡手自一体,8,手自一体变速箱(AT)
56579,宝马X4,8挡手自一体,8,手自一体变速箱(AT)
66418,宝马5系(进口),8挡手自一体,8,手自一体变速箱(AT)
68580,宝马5系(进口),8挡手自一体,8,手自一体变速箱(AT)
68581,宝马5系(进口),8挡手自一体,8,手自一体变速箱(AT)
71929,宝马i5,电动车单速变速箱,1,固定齿比变速箱
65490,宝马i5,电动车单速变速箱,1,固定齿比变速箱
69425,宝马i5,电动车单速变速箱,1,固定齿比变速箱
66249,宝马i5,电动车单速变速箱,1,固定齿比变速箱
69426,宝马i5,电动车单速变速箱,1,固定齿比变速箱
66503,宝马i5,电动车单速变速箱,1,固定齿比变速箱
64091,宝马i5,电动车单速变速箱,1,固定齿比变速箱
66521,宝马i5,电动车单速变速箱,1,固定齿比变速箱
66262,宝马i5,电动车单速变速箱,1,固定齿比变速箱
71928,宝马i5,电动车单速变速箱,1,固定齿比变速箱
58854,宝马6系GT,8挡手自一体,8,手自一体变速箱(AT)
58851,宝马6系GT,8挡手自一体,8,手自一体变速箱(AT)
69295,宝马6系GT,8挡手自一体,8,手自一体变速箱(AT)
58852,宝马6系GT,8挡手自一体,8,手自一体变速箱(AT)
67851,宝马M4,8挡手自一体,8,手自一体变速箱(AT)
67850,宝马M4,8挡手自一体,8,手自一体变速箱(AT)
62945,宝马M4,8挡手自一体,8,手自一体变速箱(AT)
67852,宝马M4,8挡手自一体,8,手自一体变速箱(AT)
62946,宝马M4,8挡手自一体,8,手自一体变速箱(AT)
62944,宝马M4,8挡手自一体,8,手自一体变速箱(AT)
58578,宝马M3,8挡手自一体,8,手自一体变速箱(AT)
69061,宝马M3,8挡手自一体,8,手自一体变速箱(AT)
57218,宝马M3,8挡手自一体,8,手自一体变速箱(AT)
69060,宝马M3,8挡手自一体,8,手自一体变速箱(AT)
62550,宝马iX1,电动车单速变速箱,1,固定齿比变速箱
64433,宝马iX1,电动车单速变速箱,1,固定齿比变速箱
64434,宝马iX1,电动车单速变速箱,1,固定齿比变速箱
64455,宝马iX1,电动车单速变速箱,1,固定齿比变速箱
65582,宝马2系(进口),8挡手自一体,8,手自一体变速箱(AT)
61604,宝马2系(进口),7挡湿式双离合,7,湿式双离合变速箱(DCT)
59546,宝马2系(进口),7挡湿式双离合,7,湿式双离合变速箱(DCT)
69025,宝马2系(进口),8挡手自一体,8,手自一体变速箱(AT)
57568,宝马8系,8挡手自一体,8,手自一体变速箱(AT)
57567,宝马8系,8挡手自一体,8,手自一体变速箱(AT)
57566,宝马8系,8挡手自一体,8,手自一体变速箱(AT)
57569,宝马8系,8挡手自一体,8,手自一体变速箱(AT)
63899,宝马iX,电动车单速变速箱,1,固定齿比变速箱
63896,宝马iX,电动车单速变速箱,1,固定齿比变速箱
60755,宝马M2,8挡手自一体,8,手自一体变速箱(AT)
68928,宝马M2,8挡手自一体,8,手自一体变速箱(AT)
63476,宝马X5 M,8挡手自一体,8,手自一体变速箱(AT)
61599,宝马Z4,8挡手自一体,8,手自一体变速箱(AT)
61598,宝马Z4,8挡手自一体,8,手自一体变速箱(AT)
71352,宝马M240i,8挡手自一体,8,手自一体变速箱(AT)
69026,宝马M240i,8挡手自一体,8,手自一体变速箱(AT)
62587,宝马M760Le,8挡手自一体,8,手自一体变速箱(AT)
62417,宝马i7,电动车单速变速箱,1,固定齿比变速箱
62416,宝马i7,电动车单速变速箱,1,固定齿比变速箱
56703,宝马i7,电动车单速变速箱,1,固定齿比变速箱
62415,宝马i7,电动车单速变速箱,1,固定齿比变速箱
60892,宝马i7,电动车单速变速箱,1,固定齿比变速箱
62414,宝马i7,电动车单速变速箱,1,固定齿比变速箱
69412,宝马M235L,7挡湿式双离合,7,湿式双离合变速箱(DCT)
57156,宝马XM,8挡手自一体,8,手自一体变速箱(AT)
62420,宝马XM,8挡手自一体,8,手自一体变速箱(AT)
62467,宝马XM,8挡手自一体,8,手自一体变速箱(AT)
68817,宝马i4,电动车单速变速箱,1,固定齿比变速箱
61699,宝马i4,电动车单速变速箱,1,固定齿比变速箱
68076,宝马i4,电动车单速变速箱,1,固定齿比变速箱
70764,宝马i4,电动车单速变速箱,1,固定齿比变速箱
51645,宝马X3 M,8挡手自一体,8,手自一体变速箱(AT)
68905,宝马X7 M60i,8挡手自一体,8,手自一体变速箱(AT)
57279,宝马X3 M40i,8挡手自一体,8,手自一体变速箱(AT)
67757,宝马X1 M35Li,7挡湿式双离合,7,湿式双离合变速箱(DCT)
63477,宝马X6 M,8挡手自一体,8,手自一体变速箱(AT)
68878,宝马M5新能源,8挡手自一体,8,手自一体变速箱(AT)
61600,宝马Z4 M40i,8挡手自一体,8,手自一体变速箱(AT)
65091,宝马X2 M35i,7挡湿式双离合,7,湿式双离合变速箱(DCT)
51640,宝马X4 M40i,8挡手自一体,8,手自一体变速箱(AT)
51644,宝马X4 M,8挡手自一体,8,手自一体变速箱(AT)
63217,宝马i5 M60,电动车单速变速箱,1,固定齿比变速箱
63897,宝马iX M60,电动车单速变速箱,1,固定齿比变速箱
66922,宝马i4 M50,电动车单速变速箱,1,固定齿比变速箱
62588,宝马i7 M70L,电动车单速变速箱,1,固定齿比变速箱
66500,秦L,E-CVT无级变速,无级变速,电子无级变速箱(E-CVT)
71472,秦L,E-CVT无级变速,无级变速,电子无级变速箱(E-CVT)
71455,秦L,E-CVT无级变速,无级变速,电子无级变速箱(E-CVT)
72526,秦L,E-CVT无级变速,无级变速,电子无级变速箱(E-CVT)
66646,秦L,E-CVT无级变速,无级变速,电子无级变速箱(E-CVT)
71490,秦L,E-CVT无级变速,无级变速,电子无级变速箱(E-CVT)
70666,秦L,电动车单速变速箱,1,固定齿比变速箱
71471,秦L,电动车单速变速箱,1,固定齿比变速箱
68231,秦L,电动车单速变速箱,1,固定齿比变速箱
72107,秦L,E-CVT无级变速,无级变速,电子无级变速箱(E-CVT)
67873,秦L,E-CVT无级变速,无级变速,电子无级变速箱(E-CVT)
71678,秦L,E-CVT无级变速,无级变速,电子无级变速箱(E-CVT)
66645,秦L,E-CVT无级变速,无级变速,电子无级变速箱(E-CVT)
71532,秦L,E-CVT无级变速,无级变速,电子无级变速箱(E-CVT)
66750,秦PLUS,E-CVT无级变速,无级变速,电子无级变速箱(E-CVT)
72524,秦PLUS,E-CVT无级变速,无级变速,电子无级变速箱(E-CVT)
